,age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
2155,54,1956,cancer,April,2010,politician member of Parliament,Dimitris Tsiogkas,Greek,3.0
2156,64,1946,sepsis,April,2010,actor,Christopher Cazenove,British,11.0
2157,59,1951,prostate cancer,April,2010,football place kicker,Chris Limahelu,American,17.0
2158,63,1947,colorectal cancer,April,2010,technology journalist,Guy Kewney,British,8.0
2159,64,1946,mesothelioma,April,2010,musician and band manager,Malcolm McLaren,British,49.0
2160,58,1952,cancer,April,2010,politician member of the House of Representatives from New Jersey,Bob Franks,American,9.0
2161,94,1916,1952) medalist,April,2010,fencer Olympic gold,Dario Mangiarotti,Italian,4.0
2162,94,1916,heart attack,April,2010,actor,Meinhardt Raabe,American,12.0
2163,70,1940,endometrial cancer,April,2010,actress,Dixie Carter,American,10.0
2164,43,1967,shot,April,2010,news cameraman,Hiro Muramoto,Japanese,6.0
2165,69,1941,after long illness,April,2010,footballer,Manfred Reichert,German,3.0
2166,45,1965,actor,April,2010,President of the Bar Council,Notable Polish people killed in the Polish Air Force Tu-154 plane crash: [133]Joanna Agacka-Indecka,attorney,209.0
2167,67,1943,wife of Lech Kaczyãski,April,2010,Lady of Poland,Maria Kaczyãska,First,14.0
2168,76,1934,fall from a tree,April,2010,swimmer Olympic gold and bronze medalist,Jean Boiteux,French,4.0
2169,65,1945,after long illness,April,2010,business manager lobbyist and politician,Gert Haller,German,1.0
2170,61,1949,heart failure,April,2010,footballer,Theodor Homann,German,2.0
2171,61,1949,cancer,April,2010,composer and musician,Julia Tsenova,Bulgarian,2.0
2172,78,1932,rheumatoid arthritis,April,2010,actress,Paz YrarrÌÁzaval,Chilean,4.0
2173,22,1988,car accident,April,2010,Turkish footballer,Alper Balaban,German-born,3.0
2174,76,1934,pulmonary disease,April,2010,Dominican clergy and church historian,Ambrosius EÌÙer,German,2.0
2175,86,1924,chronic kidney disease,April,2010,artistic director,Arnold Spohr,Canadian,3.0
2176,32,1978,lung cancer,April,2010,footballer,Jorge Bontemps,Argentine,1.0
2177,87,1923,cancer,April,2010,footballer,Charlie Timmins,English,5.0
2178,86,1924,founding member of the SDP,April,2010,politician MP for Wrexham,Tom Ellis,British,1.0
2179,71,1939,amyotrophic lateral sclerosis,April,2010,anchorman and television presenter,Lars-Jacob Krogh,Norwegian,4.0
2180,48,1962,heart failure,April,2010,rock singer and bassist,Peter Steele,American,77.0
2181,84,1926,pancreatic cancer,April,2010,politician member of the New Jersey General Assembly,Joseph Azzolina,American,8.0
2182,85,1925,after long illness,April,2010,civil rights leader executive director of the NAACP,Benjamin Hooks,American,3.0
2183,54,1956,leukemia,April,2010,footballer,Wilhelm Huxhorn,German,2.0
2184,91,1919,Bishop of Georgia,April,2010,Episcopal prelate,Paul Reeves,American,4.0
2185,72,1938,cancer,April,2010,character actor and voice actor,Michael Pataki,American,2.0
2186,57,1953,car accident,April,2010,trade unionist,Ibrahima Fofana,Guinean,5.0
2187,83,1927,bladder cancer,April,2010,police official chief of police of the Los Angeles Police Department,Daryl Gates,American,24.0
2188,92,1918,complications during a medical procedure,April,2010,politician governor of East Java,Muhammad Noer,Indonesian,1.0
2189,62,1948,heart failure,April,2010,author film critic and playwright,Arturo RodrÌ_guez FernÌÁndez,Dominican,2.0
2190,86,1924,stroke,April,2010,film editor,Dede Allen,American,8.0
2191,58,1952,heart attack,April,2010,anime writer and producer,Carl Macek,American,19.0
2192,91,1919,complications of pancreatic cancer,April,2010,architect,John Carl Warnecke,American,86.0
2193,64,1946,heart failure,April,2010,diplomat ambassador to the Democratic Republic of the Congo,Axel Weishaupt,German,1.0
2194,30,1980,cerebral hemorrhage,April,2010,drummer,Devon Clifford,Canadian,25.0
2195,86,1924,natural causes,April,2010,voice actor,Allen Swift,American,8.0
2196,48,1962,multiple myeloma,April,2010,rapper,Guru,American,30.0
2197,77,1933,cancer,April,2010,politician City Commissioner,Dick Zimmer,American,1.0
2198,47,1963,viral myocarditis,April,2010,baseball executive,Keli McGregor,American,4.0
2199,89,1921,heart failure,April,2010,Olympic official president of the International Olympic Committee,Juan Antonio Samaranch,Spanish,25.0
2200,49,1961,recipient of the Magnesia Litera award,April,2010,writer,Jan BalabÌÁn,Czech,3.0
2201,79,1931,complications from heart surgery,April,2010,American actor,Shay Duffin,Irish-born,3.0
2202,25,1985,car accident,April,2010,rhythmic gymnast Olympic gold medalist,Natalia Lavrova,Russian,4.0
2203,43,1967,race accident,April,2010,VLN racing driver,Leo LÌ¦wenstein,German,8.0
2204,81,1929,car accident,April,2010,actor and film director,Wojciech Siemion,Polish,3.0
2205,98,1912,last surviving member of the Kennedy Cabinet,April,2010,politician Secretary of Labor,W. Willard Wirtz,American,7.0
2206,89,1921,natural causes,April,2010,businessman owner of the Golden State Warriors,Franklin Mieuli,American,12.0
2207,75,1935,emphysema,April,2010,actress,Dorothy Provine,American,10.0
2208,58,1952,heart attack,April,2010,basketball player,Kevin Restani,American,2.0
2209,79,1931,natural causes,April,2010,Orthodox prelate,Daniel of Erie,American,2.0
2210,75,1935,heart attack,April,2010,politician Governor of Rajasthan,Prabha Rau,Indian,4.0
2211,54,1956,heart attack,April,2010,footballer,Alberto Vitoria,Spanish,3.0
2212,57,1953,stroke,April,2010,politician governor of Batangas,Armando Sanchez,Filipino,8.0
2213,69,1941,lymphoma,April,2010,politician governor of Miyazaki Prefecture,Tadahiro Ando,Japanese,2.0
2214,61,1949,after long illness,April,2010,voice actor radio and television personality,Jordi Estadella,Spanish,3.0
2215,79,1931,pancreatic cancer,April,2010,sports journalist,Ron Fimrite,American,1.0
2216,81,1929,pneumonia,April,2010,actress,Carmelita GonzÌÁlez,Mexican,17.0
2217,53,1957,pancreatic cancer,May,2010,stuntman,Danny Aiello III,American,4.0
2218,91,1919,cancer,May,2010,actress,Helen Wagner,American,8.0
2219,67,1943,breast cancer,May,2010,actress,Lynn Redgrave,English,26.0
2220,75,1935,cancer,May,2010,politician Louisiana State Senator,Charles C. Barham,American,8.0
2221,74,1936,heart attack,May,2010,fictional character,Blanche Hunt,American,15.0
2222,88,1922,natural causes,May,2010,professional wrestler and actor,Kinji Shibuya,American,2.0
2223,85,1925,heart failure and stroke,May,2010,American spacecraft engineer,Guenter Wendt,German-born,5.0
2224,92,1918,cholangiocarcinoma,May,2010,baseball sportscaster,Ernie Harwell,American,24.0
2225,30,1980,auto accident,May,2010,football player,Nick Rogers,American,3.0
2226,61,1949,pancreatic cancer,May,2010,sculptor,Dustin Shuler,American,11.0
2227,82,1928,after long illness,May,2010,politician mayor of Hamilton Ontario,Jack MacDonald,Canadian,31.0
2228,96,1914,natural causes,May,2010,crime reporter,Gwyn Thomas,Canadian,4.0
2229,58,1952,after long illness,May,2010,politician President,Umaru Yar'Adua,Nigerian,40.0
2230,88,1922,complications from pneumonia,May,2010,film director and screenwriter,David E. Durston,American,1.0
2231,21,1989,shot,May,2010,footballer,Guillermo Meza,Mexican,4.0
2232,83,1927,natural causes,May,2010,baseball player,Robin Roberts,American,24.0
2233,64,1946,cancer,May,2010,actress,Babz Chula,American,8.0
2234,90,1920,natural causes,May,2010,politician Secretary of the Interior,Wally Hickel,American,15.0
2235,44,1966,cardiac arrest,May,2010,handball player and coach,Zoran KurteÁ,Serbian,1.0
2236,87,1923,natural causes,May,2010,actress,Adele Mara,American,4.0
2237,84,1926,after long illness,May,2010,actor,Peer Schmidt,German,1.0
2238,58,1952,lymphoid leukemia,May,2010,radio personality,Mark Shannon,American,6.0
2239,46,1964,heart attack,May,2010,Orthodox prelate bishop of Yakutsk and Lensk,Zosima Davydov,Russian,1.0
2240,67,1943,cancer,May,2010,politician Minister of the Interior and Deputy Prime Minister,Hans Dijkstal,Dutch,6.0
2241,67,1943,journalist and writer,May,2010,actor,Francisco AndrÌ©s Escobar,Salvadorian,1.0
2242,77,1933,after short illness,May,2010,public official Ombudsman,Otakar Motejl,Czech,3.0
2243,86,1924,World War II resistance fighter,May,2010,partisan,Karl-Heinz Schnibbe,German,8.0
2244,71,1939,lung cancer,May,2010,actor,Mac Mohan,Indian,9.0
2245,55,1955,heart failure,May,2010,American show jumper Olympic silver medallist,Timothy Grubb,British-born,2.0
2246,74,1936,heart attack,May,2010,boxing manager,Rauf Jabbarov,Azerbaijani,6.0
2247,52,1958,complications of hepatitis C,May,2010,actor,Maciej Kozâowski,Polish,2.0
2248,60,1950,pneumonia,May,2010,politician and jurist NSW Attorney General,Jeff Shaw,Australian,12.0
2249,86,1924,cardiac arrest,May,2010,television writer,Allan Manings,American,4.0
2250,81,1929,cancer,May,2010,actor,Antonio Ozores,Spanish,1.0
2251,46,1964,air crash,May,2010,politician Education Secretary,Cinthia RÌ©gia Gomes do Livramento,Brazilian,1.0
2252,73,1937,after long illness,May,2010,rugby league footballer Balmain Tigers premiership captain,Peter Provan,Australian,4.0
2253,91,1919,after long illness,May,2010,politician Deputy Prime Minister,Goh Keng Swee,Singaporean,34.0
2254,37,1973,heart disease,May,2010,football player,Norman Hand,American,5.0
2255,57,1953,heart attack,May,2010,actor,Christian Habicht,German,2.0
2256,60,1950,leukemia,May,2010,racing driver,Loris Kessel,Swiss,1.0
2257,90,1920,youngest son of Emperor Charles I and Zita of Bourbon-Parma,May,2010,nobleman,Archduke Rudolf of Austria,Austrian,6.0
2258,86,1924,respiratory infection,May,2010,politician Vice-President,Bhairon Singh Shekhawat,Indian,15.0
2259,67,1943,stomach cancer,May,2010,heavy metal singer,Ronnie James Dio,American,25.0
2260,55,1955,homicide,May,2010,television writer,Stephen Perry,American,16.0
2261,49,1961,cancer,May,2010,footballer,Trevor Brissett,English,5.0
2262,78,1932,complications from a stroke,May,2010,football player,Stan Jones,American,4.0
2263,72,1938,cervical cancer,May,2010,First Lady,Hasri Ainun Habibie,Indonesian,3.0
2264,63,1947,idiopathic ischemic lung disease,May,2010,theater critic,Michael Kuchwara,American,1.0
2265,79,1931,cancer,May,2010,politician U.S. Representative for Ohio,Buz Lukens,American,12.0
2266,43,1967,stroke,May,2010,singer,Beto,Portuguese,2.0
2267,85,1925,after short illness,May,2010,documentary filmmaker,Irwin Rosten,American,3.0
2268,72,1938,cardiac arrest,May,2010,actor,Tapen Chatterjee,Indian,1.0
2269,38,1972,accidental fentanyl and morphine overdose,May,2010,heavy metal bassist,Paul Gray,American,22.0
2270,61,1949,complications from surgery,May,2010,photographer writer and stock broker,Alejandro LÌ_pez de Haro,Venezuelan,6.0
2271,59,1951,complications from cancer,May,2010,screenwriter,Katherine Reback,American,2.0
2272,45,1965,heart attack,May,2010,football player,Jarvis Williams,American,13.0
2273,82,1928,natural causes,May,2010,actor,Jean Constantin,Romanian,2.0
2274,97,1913,natural causes,May,2010,American radio and television personality,Art Linkletter,Canadian-born,24.0
2275,64,1946,breast cancer,May,2010,actress and voice actress,Pat Stevens,American,5.0
2276,57,1953,throat cancer,May,2010,animation producer and executive,Peter Keefe,American,3.0
2277,78,1932,heart failure,May,2010,actor,Eddie Barth,American,2.0
2278,42,1968,intracranial hemorrhage,May,2010,actor,Gary Coleman,American,72.0
2279,24,1986,traffic collision,May,2010,hurler,Adrian Freeman,Irish,10.0
2280,74,1936,prostate cancer,May,2010,actor,Dennis Hopper,American,86.0
2281,33,1977,motorcycle collision,May,2010,baseball player,Jeriome Robertson,American,35.0
2282,55,1955,pancreatic cancer,May,2010,executive director of Casa Alianza,Bruce Harris,British,11.0
2283,80,1930,shot,May,2010,businessman and philanthropist,Klaus Kandaouroff,German,3.0
2284,69,1941,cancer,May,2010,politician MP for Finchley and Golders Green,Rudi Vis,British,4.0
2285,58,1952,leukemia,May,2010,soul singer,Ali-Ollie Woodson,American,7.0
2286,82,1928,kidney failure,May,2010,politician Mayor of Vancouver,Jack Volrich,Canadian,1.0
2287,74,1936,recipient of the Order of TomÌÁÁ Garrigue Masaryk,June,2010,writer and translator,VladimÌ_r Bystrov,Czech,4.0
2288,63,1947,cancer,June,2010,musician,Danny Douma,American,6.0
2289,62,1948,amyotrophic lateral sclerosis,June,2010,musician,Les Lockridge,American,2.0
2290,67,1943,pancreatic and liver cancer,June,2010,radio personality and voice actor,Robert O. Smith,American,1.0
2291,85,1925,emphysema and lung disease,June,2010,actress,Dorothy DeBorba,American,2.0
2292,88,1922,respiratory and cardiac arrest,June,2010,cartoonist,Tony DiPreta,American,11.0
2293,31,1979,shot,June,2010,rugby league player,Garry Purdham,English,14.0
2294,77,1933,Alzheimer's disease,June,2010,politician MP for Perth‰ÛÓWellington‰ÛÓWaterloo,John Richardson,Canadian,4.0
2295,86,1924,member of the U,June,2010,politician,Frank Evans,American,1.0
2296,76,1934,stroke,June,2010,actress,Rue McClanahan,American,28.0
2297,63,1947,stabbed,June,2010,Roman Catholic prelate Vicar of Anatolia and chairman of the Turkish Bishops' Conference,Luigi Padovese,Italian,8.0
2298,84,1926,cancer,June,2010,Mormon leader and politician,Richard P. Lindsay,American,6.0
2299,69,1941,pancreatic cancer,June,2010,Rican politician mayor of Caguas,William Miranda MarÌ_n,Puerto,2.0
2300,37,1973,cardiac arrest,June,2010,footballer,Hennadiy Popovych,Ukrainian,6.0
2301,56,1954,heart attack,June,2010,politician member of the Illinois House of Representatives,Eddie Washington,American,1.0
2302,81,1929,cardiac arrest,June,2010,actress,Esma Agolli,Albanian,1.0
2303,84,1926,stroke,June,2010,journalist executive editor,Robert Healy,American,2.0
2304,86,1924,pneumonia,June,2010,Roman Catholic friar and priest Superior General,Finian Monahan,Irish,1.0
2305,60,1950,heart disease,June,2010,musician and record producer,Tony Peluso,American,6.0
2306,58,1952,cancer,June,2010,film producer,Steven Reuther,American,1.0
2307,56,1954,complications of diabetes,June,2010,bassist,Marvin Isley,American,5.0
2308,56,1954,ruptured blood clot,June,2010,musician,Dana Key,American,5.0
2309,85,1925,complications from a stroke,June,2010,film producer,Robert B. Radnitz,American,6.0
2310,66,1944,lung cancer,June,2010,baseball player,Jerry Stephenson,American,4.0
2311,59,1951,stomach cancer,June,2010,politician member of the Iowa House of Representatives,Paul Bell,American,2.0
2312,40,1970,accidental asphyxiation,June,2010,drummer,Stuart Cable,Welsh,27.0
2313,66,1944,after long illness,June,2010,poet,Ndoc Gjetja,Albanian,2.0
2314,82,1928,heart attack,June,2010,painter and sculptor,Omar Rayo,Colombian,5.0
2315,68,1942,multiple organ dysfunction syndrome,June,2010,comedian,Viana JÌ¼nior,Brazilian,3.0
2316,54,1956,ruptured intestine,June,2010,Australian television personality,Adriana Xenides,Argentine-born,15.0
2317,76,1934,after long illness,June,2010,disc jockey,Tony Cennamo,American,5.0
2318,64,1946,heart failure,June,2010,politician and businessman Utah State Senator,Dan R. Eastman,American,3.0
2319,82,1928,composer and bandleader,June,2010,Venezuelan musician arranger,Porfi JimÌ©nez,Dominican-born,5.0
2320,71,1939,after long illness,June,2010,pop singer,Crispian St. Peters,British,10.0
2321,82,1928,complications from colorectal cancer,June,2010,ice hockey coach,Bobby Kromm,Canadian,3.0
2322,39,1971,cancer,June,2010,footballer,Mohamed Sylla,Guinean,1.0
2323,70,1940,cancer,June,2010,Byzantine Catholic friar Metropolitan of the Byzantine Catholic Archeparchy of Pittsburgh,Basil Schott,American,6.0
2324,68,1942,stomach cancer,June,2010,actor,Shunsuke Ikeda,Japanese,3.0
2325,65,1945,complications of cancer,June,2010,architect and urban designer,William J. Mitchell,American,4.0
2326,72,1938,cancer,June,2010,baseball player and scout,Felix Maldonado,American,5.0
2327,79,1931,brain aneurysm,June,2010,football player,Les Richter,American,2.0
2328,81,1929,natural causes,June,2010,country music singer,Jimmy Dean,American,18.0
2329,84,1926,founder of The Museum at Warm Springs,June,2010,Wasco tribe leader chief of the Wasco Indians,Nelson Wallulatum,American,2.0
2330,90,1920,after long illness,June,2010,journalist writer and radio personality,Richard Herrmann,Norwegian,2.0
2331,87,1923,U,June,2010,politician,Thomas W. L. Ashley,American,2.0
2332,74,1936,suspected suicide by gunshot,June,2010,actor,Bekim Fehmiu,Serbian,12.0
2333,63,1947,cancer,June,2010,Olympic swimmer gold and silver medalist,Charles Hickcox,American,5.0
2334,41,1969,liver cancer,June,2010,manga artist,Tadashi Kawashima,Japanese,1.0
2335,66,1944,heart attack,June,2010,film critic,Peter Brunette,American,2.0
2336,66,1944,illness,June,2010,singer,Carole McGoldrick,American,2.0
2337,48,1962,stroke,June,2010,actor and film director,Corso Salani,Italian,1.0
2338,56,1954,complications from brain and lung cancer,June,2010,musician,Garry Shider,American,6.0
2339,86,1924,cancer,June,2010,politician Secretary of State of Oklahoma,Hannah Atkins,American,8.0
2340,87,1923,heart attack,June,2010,architect urbanist and politician Mayor of Belgrade,Bogdan Bogdanovi€à,Serbian,27.0
2341,86,1924,heart attack,June,2010,sports official President of the International Boxing Association,Anwar Chowdhry,Pakistani,4.0
2342,46,1964,drone strike,June,2010,militant,Mohammed Ali Hammadi,Lebanese,12.0
2343,72,1938,respiratory failure,June,2010,writer and journalist,Carlos MonsivÌÁis,Mexican,22.0
2344,59,1951,plane crash,June,2010,businessman CEO of Macarthur Coal,Ken Talbot,Australian,7.0
2345,58,1952,leiomyosarcoma,June,2010,comedian and television writer,Irwin Barker,Canadian,1.0
2346,62,1948,car crash,June,2010,economic historian and project manager,Wilfried Feldenkirchen,German,6.0
2347,81,1929,cancer,June,2010,physician,Henrique Walter Pinotti,Brazilian,2.0
2348,54,1956,lung cancer,June,2010,comedian and musician,Chris Sievey,British,44.0
2349,24,1986,euthanized,June,2010,Thoroughbred racehorse Canadian Triple Crown winner,With Approval,Canadian,23.0
2350,92,1918,member of the anti-Nazi resistance movement White Rose,June,2010,activist,Marie-Luise Jahn,German,2.0
2351,83,1927,complications from leukemia,June,2010,community leader philanthropist and bridge player,Aileen Osofsky,American,11.0
2352,68,1942,after long illness,June,2010,writer,Manfred RÌ¦mbell,German,1.0
2353,62,1948,after short illness,June,2010,Chief of Staff of the Defence Forces,Dermot Earley,Irish,31.0
2354,85,1925,natural causes,June,2010,television composer,Allyn Ferguson,American,5.0
2355,66,1944,kidney failure,June,2010,bassist,Pete Quaife,British,15.0
2356,71,1939,heart failure,June,2010,sports commentator,Lorn Brown,American,4.0
2357,62,1948,kidney failure,June,2010,New Guinean Premier of East Sepik,Cherubim Dambui,Papua,5.0
2358,95,1915,natural causes,June,2010,real estate developer and baseball team owner,Walter Shorenstein,American,11.0
2359,49,1961,drowning,June,2010,politician member of the Massachusetts House of Representatives,Robert Nyman,American,3.0
2360,77,1933,lymphoma,June,2010,politician President,Algirdas Brazauskas,Lithuanian,11.0
2361,71,1939,cancer,June,2010,politician member of the Maryland House of Delegates,D. Page Elmore,American,5.0
2362,85,1925,complications following a traffic accident,June,2010,automotive engineer,Charles Spencer King,English,3.0
2363,84,1926,heart attack,June,2010,singer,Shoista Mullojonova,Tajik,11.0
2364,80,1930,heart attack following spinal surgery,June,2010,jazz trombonist,Benny Powell,American,3.0
2365,47,1963,suicide by jumping,June,2010,football coach,Vasyl Yevseyev,Ukrainian,7.0
2366,75,1935,complications of Parkinson's disease,June,2010,actor,Corey Allen,American,6.0
2367,87,1923,kidney failure and pneumonia,June,2010,politician Governor of Texas,Dolph Briscoe,American,11.0
2368,32,1978,shot,June,2010,footballer,Ìädgar GarcÌ_a de Dios,Mexican,2.0
2369,86,1924,peritonitis,June,2010,actor,Aldo GiuffrÌ¬,Italian,1.0
2370,66,1944,complications from prostate cancer,June,2010,band manager,Bill Aucoin,American,7.0
2371,52,1958,heart attack,June,2010,Canadian ice hockey player,Willie Huber,German-born,3.0
2372,49,1961,heart attack,June,2010,ice hockey player,Blair Barnes,Canadian,1.0
2373,79,1931,complications from pneumonia,June,2010,voice actor,Ron Gans,American,2.0
2374,35,1975,parachute accident,June,2010,actor and reality show contestant,Pietro Taricone,Italian,2.0
2375,69,1941,prostate cancer,June,2010,landscape painter,Bruno CÌ«tÌ©,Canadian,4.0
2376,79,1931,cancer,June,2010,singer,Ditta Zusa Einzinger,Austrian,3.0
2377,80,1930,cancer,June,2010,film producer,Elliott Kastner,American,40.0
2378,47,1963,breast cancer,July,2010,radio broadcaster,Alison Booker,British,4.0
2379,24,1986,shot,July,2010,Rican rapper,Lele,Puerto,1.0
2380,26,1984,shot,July,2010,footballer,Eddie Moussa,Swedish,7.0
2381,63,1947,heart attack,July,2010,drummer,George Newcom,American,6.0
2382,81,1929,complications from Alzheimer's disease,July,2010,singer and actress,Ilene Woods,American,6.0
2383,77,1933,cancer,July,2010,novelist,Dame Beryl Bainbridge,English,19.0
2384,57,1953,heart attack,July,2010,politician and negotiator President of Sahrawi National Council,Mahfoud Ali Beiba,Sahrawi,12.0
2385,76,1934,myeloid leukemia,July,2010,American studio executive Executive Vice President of worldwide marketing,Simon Kornblit,Belgian-born,2.0
2386,62,1948,brain tumour,July,2010,poet and politician Member of Parliament,Tommy Tabermann,Finnish,5.0
2387,80,1930,complications from pneumonia,July,2010,broadcaster and CEO,Murray Chercover,Canadian,6.0
2388,78,1932,cancer,July,2010,politician Lieutenant Governor of South Dakota,William Dougherty,American,8.0
2389,48,1962,suicide,July,2010,politician and juvenile magistrate,Kirsten Heisig,German,2.0
2390,66,1944,prostate cancer,July,2010,stage director,Israel Hicks,American,4.0
2391,94,1916,cardiac arrest,July,2010,politician Governor of Santiago del Estero Province,Carlos JuÌÁrez,Argentine,1.0
2392,83,1927,leukemia,July,2010,physician Pulitzer Prize winner,Robert Neil Butler,American,19.0
2393,77,1933,after long illness,July,2010,football player,Oscar Kruger,Canadian,5.0
2394,68,1942,stroke,July,2010,composer,David Fanshawe,British,6.0
2395,64,1946,after long illness,July,2010,Orthodox prelate Metropolitan of Lviv and Sokal in Ukrainian Orthodox Church of the Kyivan Patriarchate,Andriy Horak,Ukrainian,1.0
2396,89,1921,Alzheimer's disease,July,2010,economist Secretary of Commerce,Juanita M. Kreps,American,8.0
2397,45,1965,suspected heart attack,July,2010,ice hockey player,Bob Probert,Canadian,28.0
2398,80,1930,heart attack,July,2010,rhythm and blues singer,Harvey Fuqua,American,7.0
2399,23,1987,cardiac arrest,July,2010,ice hockey player,Igor Misko,Russian,1.0
2400,89,1921,after long illness,July,2010,football player,John North,American,1.0
2401,92,1918,president of HÌ©rcules CF,July,2010,businessman,JosÌ© Rico PÌ©rez,Spanish,2.0
2402,82,1928,complications from Alzheimer's disease,July,2010,American newspaper publisher,Roberto SuÌÁrez,Cuban-born,2.0
2403,91,1919,heart failure,July,2010,politician U.S. Representative for Connecticut,Emilio Q. Daddario,American,7.0
2404,73,1937,complications from leukemia,July,2010,newscaster,John Henning,American,7.0
2405,56,1954,leader of Democratic Fellowship of Vojvodina Hungarians,July,2010,politician,SÌÁndor PÌÁll,Serbian,1.0
2406,66,1944,car crash,July,2010,politician mayor of San MartÌ_n de los Andes,Luz Sapag,Argentine,4.0
2407,81,1929,Parkinson's disease,July,2010,film editor,David Blewitt,American,2.0
2408,78,1932,Bishop of Quimper and Leon,July,2010,Roman Catholic prelate,ClÌ©ment Joseph Marie Raymond Guillon,French,1.0
2409,65,1945,cardiac arrest,July,2010,actress,Vonetta McGee,American,3.0
2410,45,1965,fall,July,2010,actor,Robert Spillane,American,2.0
2411,61,1949,pancreatic cancer,July,2010,gospel music singer,Walter Hawkins,American,2.0
2412,71,1939,pancreatic cancer,July,2010,Jesuit priest and accountant Chancellor,Paul Locatelli,American,7.0
2413,78,1932,leukemia,July,2010,politician member of the New York State Assembly,Thomas Morahan,American,4.0
2414,70,1940,accidental medication overdose,July,2010,comic book writer,Harvey Pekar,American,39.0
2415,50,1960,suspected heart attack,July,2010,actress,Gilly Coman,British,3.0
2416,72,1938,prostate cancer,July,2010,politician member of the California State Assembly,Dave Cox,American,2.0
2417,91,1919,after long illness,July,2010,football player,Gene Goodreault,American,12.0
2418,77,1933,1956 and 1964 Olympic champion,July,2010,sport shooter,Pentti Linnosvuo,Finnish,2.0
2419,80,1930,heart attack,July,2010,baseball team owner,George Steinbrenner,American,68.0
2420,71,1939,cancer,July,2010,Jesuit priest president of Le Moyne College,Charles Beirne,American,6.0
2421,43,1967,suicide,July,2010,pop singer,M€Äd€Älina Manole,Romanian,27.0
2422,83,1927,heart attack,July,2010,diplomat Ambassador to Saudi Arabia,James E. Akins,American,9.0
2423,83,1927,lung cancer,July,2010,voice actor,Peter Fernandez,American,10.0
2424,80,1930,complications from diabetes,July,2010,baseball player,Billy Loes,American,3.0
2425,83,1927,cancer,July,2010,politician member of Georgia House of Representatives,Billy McKinney,American,6.0
2426,70,1940,liver cancer,July,2010,actor,James Gammon,American,6.0
2427,73,1937,pancreatic cancer,July,2010,baseball player,Kenny Kuhn,American,2.0
2428,63,1947,cancer,July,2010,actor,Bernard Giraudeau,French,3.0
2429,79,1931,cancer,July,2010,actor,Larry Keith,American,3.0
2430,50,1960,kidney failure,July,2010,footballer,Shaun Mawer,English,3.0
2431,47,1963,complications from leukemia,July,2010,American animator,Pres Romanillos,Filipino-born,7.0
2432,82,1928,heart failure,July,2010,animator,Shirley Silvey,American,1.0
2433,61,1949,cancer,July,2010,footballer,Ioannis Stefas,Greek,1.0
2434,71,1939,natural causes,July,2010,footballer,Gun€rs Ulmanis,Latvian,2.0
2435,95,1915,after long illness,July,2010,politician governor of Santa Cruz Province,Jorge Cepernic,Argentine,4.0
2436,81,1929,lung cancer,July,2010,film actress author screenwriter and director,CÌ©cile Aubry,French,6.0
2437,92,1918,creator of Scobie Malone,July,2010,novelist,Jon Cleary,Australian,44.0
2438,37,1973,shot,July,2010,reporter,Sokratis Giolias,Greek,13.0
2439,59,1951,cancer,July,2010,musician,Andy Hummel,American,4.0
2440,82,1928,after long illness,July,2010,jurist Attorney General,Milon K. Banerji,Indian,4.0
2441,78,1932,non-Hodgkin lymphoma,July,2010,actor,Carl Gordon,American,4.0
2442,51,1959,brain tumour,July,2010,Zealand actress,Peta Rutter,New,1.0
2443,93,1917,natural causes,July,2010,politician General Secretary of the Communist Party of Chile,Luis CorvalÌÁn,Chilean,5.0
2444,90,1920,natural causes,July,2010,baseball player,Ralph Houk,American,11.0
2445,73,1937,fall,July,2010,politician Governor of Nevada,Kenny Guinn,American,3.0
2446,79,1931,heart failure,July,2010,anti-communist fighter,Milan Paumer,Czech,5.0
2447,78,1932,leukemia,July,2010,politician Representative for 2nd District of Cagayan,Florencio Vargas,Filipino,2.0
2448,36,1974,complications following surgery,July,2010,football player,Kenyon Cotton,American,1.0
2449,72,1938,lung cancer,July,2010,sports writer,Vic Ziegel,American,5.0
2450,91,1919,natural causes,July,2010,actress,Mia Oremovi€à,Croatian,1.0
2451,82,1928,People's Artist of the USSR,July,2010,film director and screenwriter,Igor Talankin,Russian,1.0
2452,79,1931,stroke,July,2010,educator New York City School Chancellor,Nathan Quinones,American,4.0
2453,79,1931,after short illness,July,2010,politician Queen's Commissioner of Groningen,Henk Vonhoff,Dutch,1.0
2454,65,1945,brain tumor,July,2010,public address announcer,John Barbero,American,1.0
2455,67,1943,heart failure,July,2010,soul singer,Al Goodman,American,3.0
2456,64,1946,cerebral hemorrhage,July,2010,lawyer,Sivakant Tiwari,Singaporean,35.0
2457,67,1943,renal failure,July,2010,Chaldean Catholic prelate auxiliary bishop of Baghdad,Andraos Abouna,Iraqi,1.0
2458,61,1949,kidney failure,July,2010,Canadian actor,Maury Chaykin,American-born,25.0
2459,45,1965,heart condition,July,2010,football player,Harry Galbreath,American,2.0
2460,54,1956,cancer,July,2010,cartoonist,AndrÌ© Geerts,Belgian,3.0
2461,61,1949,heart attack,July,2010,football player,Jack Tatum,American,15.0
2462,84,1926,cancer,July,2010,football player,Bob Fenimore,American,7.0
2463,61,1949,cancer,July,2010,television announcer and voiceover artist,J. J. Maura,American,2.0
2464,65,1945,breast cancer,July,2010,singer,Katarzyna Sobczyk,Polish,1.0
