cause_of_death, count
complic from respiratori failur ,1
heart and lung failur ,1
auto accid ,1
militari strike ,1
stroke and heart attack ,1
complic after open heart surgeri ,1
postop complic ,1
intern bleed and liver failur ,1
probabl pulmonari embol ,1
massiv brain hemorrhag ,1
complic from gall bladder cancer ,1
convict sex offend ,1
complic from colon and bowel cancer ,1
post-foal complic ,1
skin infect ,1
recipi of the magnesia litera award ,1
first femal chief whip of the nation council of provinc ,1
silver ,1
owner of huey' restaur ,1
gastrointestin bleed ,1
pneumonia and kidney failur ,1
complic from neurosurgeri ,1
complic of shoot ,1
embol ,1
ski accid ,1
complic of kidney failur ,1
miss sinc 2012 ,1
complic from lyme diseas and al ,1
egot winner ,1
execut by flamethrow ,1
complic from liver cancer ,1
sinu cancer ,1
kidney complic from cancer ,1
owner of woodburi ski area ,1
injuri sustain in an explos ,1
esophag and stomach cancer ,1
scooter accid ,1
cardiac arrest after heart ailment ,1
progeria ,1
paralymp gold medalist ,1
crohn' diseas ,1
complic from esophag cancer and pneumonia ,1
malign brain tumour ,1
neuroendocrin carcinoma ,1
complic of a stroke and diabet ,1
heart attack dure surgeri ,1
anaemia ,1
nosocomi infect ,1
yacht capsiz ,1
complic of malaria ,1
complic from aortic surgeri ,1
pulmonari failur as a complic of diabet ,1
traumat dementia encephalophathi ,1
script writer and director ,1
struck by motorcycl ,1
isi hostag ,1
injuri sustain in traffic collis ,1
complic dure liver transplant surgeri ,1
respiratori complic ,1
and comic author ,1
erot asphyxi ,1
short ill ,1
engin for digit equip ,1
shell ,1
infect after heart surgeri ,1
injuri sustain from beat ,1
kidney failur associ with colon cancer ,1
strangul ,1
cancer of the jaw ,1
namesak of the zabeel classic ,1
arrang and televis person ,1
complic from lung surgeri ,1
cardiac arrest follow ski accid ,1
adrenocort carcinoma ,1
complic after a fall ,1
complic from heatstrok and exhaust ,1
liver cirrhosi ,1
chronic lymphocyt leukemia ,1
cardiopathi ,1
complic dure foal ,1
1968 olymp silver and bronz medalist ,1
complic of cardiac surgeri ,1
accident gunshot ,1
suspect embol ,1
record produc and musician ,1
superintend of the U ,1
aneurysm and heart attack ,1
ruptur blood clot ,1
execut by lethal inject ,1
presid of the suprem court ,1
mantl cell lymphoma ,1
blood diseas ,1
cardiovascular diseas ,1
member of the cdu and landtag of north rhine-westphalia ,1
possibl suicid ,1
heroin and alcohol overdos ,1
founder of epictim ,1
complic from collaps lung ,1
complic from colon cancer ,1
chief first nation negoti dure 1992 land reform ,1
complic after spleen surgeri ,1
complic from anemia ,1
blunt forc head trauma ,1
lupu ,1
first canadian to get a full scholarship to ncaa school for basketbal ,1
lung ailment ,1
oral cancer ,1
complic from pregnanc ,1
collaps lung and heart attack ,1
lymphoid leukemia ,1
blood poison ,1
music produc and radio host ,1
lung and throat cancer ,1
screenwrit and director ,1
injuri from a traffic collis ,1
planetarium director ,1
fall from a tree ,1
1956 and 1964 olymp champion ,1
slurri tank ga poison ,1
challeng virginia interraci marriag law ,1
cardiovascular complic ,1
victim of the 2006 new york citi plane crash ,1
metastat eye cancer ,1
miss presum drown ,1
horserid fall ,1
alzheimer' diseas and pneumonia ,1
accident overdos of fentanyl ,1
respiratori insuffici ,1
cervic fractur ,1
carbon monoxid poison ,1
ard ,1
pulmonari infect ,1
breast cancer and multipl sclerosi ,1
thrombosi ,1
chairman of york citi F ,1
myocardi ischemia ,1
overdos ,1
complic of a seizur ,1
earthquak ,1
complic from liver failur ,1
literari critic and publicist ,1
suspect cardiac arrest ,1
in hi sleep ,1
duoden cancer ,1
neuropathi ,1
complic from lyme diseas ,1
complic of liver and kidney failur ,1
liver complic ,1
alpha 1-antitrypsin defici ,1
complic of surgeri ,1
lou gehrig' diseas ,1
epidur hematoma ,1
leader of democrat fellowship of vojvodina hungarian ,1
burst heart valv ,1
cholangiocarcinoma ,1
accident drown ,1
journalist and writer ,1
complic follow heart attack ,1
hypothermia ,1
carcinoid cancer ,1
member of the sejm for ì_d¼ ,1
typhoid fever ,1
and model ,1
fall from boat ,1
euthan follow adren diseas and hoof inflamm ,1
complic of brain tumor ,1
suicid by wrist cut ,1
1964 olymp bronz medal winner ,1
produc and DJ ,1
complic from cancer and chest infect ,1
hajj stamped ,1
head injuri from projectil ,1
automobil accid ,1
complic from a wasp sting ,1
pioneer in human-robot interact ,1
1981 rooki of the year ,1
chest infect ,1
execut by fire squad ,1
thymu cancer ,1
